"gene_id" "Cu_deficient" "Cu_deficient_crr1" "Cu_deficient_crr12" "Cu_sufficient" "Fe_deficient_Min" "Fe_limited_Min" "Fe_repleted_Min" "H2O2_t0" "H2O2_t05" "H2O2_t1" "N_deprived" "N_repleted" "S_deprived" "S_deprived_ars11" "S_repleted" "S_repleted_ars11" "singlet_4A" "singlet_sor1" "TAP_recipe1" "TAP_recipe2"
"g2" 27.8212 12.6158 22.6775 71.0092 4.44438 4.93783 2.85718 2.79232 2.70037 4.14434 17.2367 37.3056 190.742 187.859 82.7695 95.482 87.1949 140.061 27.0932 28.4222
"g3" 2.19048 6.01066 7.25442 3.59118 0.464713 0.897755 0.707877 1.28182 1.07351 1.74573 0.0291368 0.898702 28.4114 12.6071 19.1114 26.8918 2.34963 0.858523 1.47158 1.5677
"Cre01.g000050" 2.39916 1.69931 2.32961 2.54268 1.83123 2.43475 1.3658 2.1798 1.38166 1.39965 5.0022 2.92723 2.28673 1.82641 2.62329 2.205 0.86569 1.67039 1.40129 1.41718
"Cre01.g000100" 1.30034 0.897181 1.24852 1.22202 1.32879 1.01507 1.39588 0.996743 0.716383 0.81012 1.81243 2.12504 1.90665 0.97885 2.04805 2.28818 0.727467 0.609161 1.03748 0.830422
"Cre01.g000150" 27.2537 0.450319 40.6733 8.53328 7.65216 15.7511 8.66294 12.2654 13.9719 6.74755 0.0885908 4.63998 0.201192 4.67206 8.88567 18.9332 3.69161 0.349452 9.68014 9.0186
"Cre01.g000300" 25.4031 13.7031 7.7882 20.1678 39.839 59.583 57.3534 14.039 26.9208 34.0215 67.9929 18.0618 22.3299 59.3014 9.61682 9.69673 20.9999 60.065 18.1982 16.9026
"Cre01.g000450" 6.64433 9.20968 9.67382 9.55198 14.8342 13.1347 14.7399 17.5247 19.2229 16.8743 6.96856 7.6836 10.449 4.8068 11.4097 8.93462 6.95407 7.37669 11.209 13.6957
"Cre01.g000550" 0.195827 0.744022 1.05934 0.153611 0.14435 0.0939462 0.0277054 0.10629 0.0942385 0.137321 0.145234 0.120107 0.103965 0.0262119 0.0477879 0.0285009 0.0445473 0.160978 0.268146 0.129836
"Cre01.g000650" 3.25971 2.94345 0.873857 2.05918 13.323 18.4326 13.6031 1.33806 10.2402 16.2526 38.3915 5.24318 30.1073 21.3326 2.88005 2.43886 0.14082 2.83953 2.00957 2.00264
"Cre01.g000900" 30.3824 58.8881 34.5062 24.955 41.4797 47.0079 42.8985 45.1252 50.4814 40.1185 41.1908 26.8984 65.7607 38.8038 42.7369 37.6839 16.3328 22.2715 44.6331 46.625
"Cre01.g000950" 0.177142 1.14362 1.24131 0.285563 0.75338 0.731651 0.567669 0.370984 0.259147 0.385169 0.53689 0.435642 0.652707 0.132756 1.07629 2.18461 0.135263 0.481853 0.488253 0.228469
"Cre01.g001150" 3.67185 1.99254 4.26027 3.3253 2.00192 1.64936 2.14672 1.61224 1.2443 1.18782 3.64257 2.82231 5.17846 6.25437 4.05733 5.59246 2.30456 5.03069 1.93193 2.41413
"Cre01.g001200" 2.26878 2.62715 5.42524 1.93007 3.83494 3.21261 3.42041 5.64829 3.4855 2.79139 0.10716 1.67644 4.894 2.33736 3.15732 3.42153 2.50871 8.7824 4.16496 5.35379
"g28" 0.508645 0.480373 1.28039 0.50756 1.76303 1.17417 1.61717 1.09521 0.984713 0.825309 0.0971089 0.0628576 1.19336 0.810517 0.292906 0.656699 0.260476 1.59897 1.36753 1.62282
"g29" 1.12499 0.274949 1.22256 1.12713 0.247001 0.317711 0.217527 0.42699 0.90622 0.701184 0.10578 0.162141 1.10713 0.283211 0.474493 0.863551 0.157584 0.151379 0.391393 0.478044
"Cre01.g001400" 3.68165 7.86442 2.69557 2.68736 9.57553 16.3543 11.2516 1.46614 8.57985 9.00244 3.42799 3.26209 3.05098 15.557 2.36678 4.03208 0.415615 1.80823 1.65102 2.67832
"g32" 1.52119 2.36015 2.18806 1.72591 2.21939 1.81917 1.90832 1.8063 2.36107 1.66851 1.27616 2.57952 1.20396 1.56232 1.64584 2.62319 0.489869 1.38645 0.454446 0.929237
"Cre01.g001550" 37.4841 20.0306 22.9939 43.5895 21.9087 14.5634 25.2773 31.1438 32.6241 24.3467 31.4895 25.3268 26.7343 22.9306 32.6103 21.0743 14.0734 8.1896 18.5335 18.954
"Cre01.g001600" 2.91393 4.51913 2.91983 1.68017 7.31481 6.31761 5.93975 3.97193 2.65877 2.72243 3.49252 3.70348 4.89146 4.75219 2.82708 4.62023 11.6582 6.77837 2.66653 1.74562
"g37" 24.3939 37.7196 34.121 27.4283 12.1912 10.4032 11.9506 19.6716 18.8231 20.0958 18.7031 20.1422 23.3055 8.46986 32.1146 23.0297 74.2729 31.5407 22.4099 21.4826
"g40" 6.75732 6.45626 9.61544 6.76716 8.18459 8.15623 8.5541 6.54096 8.29346 9.68511 10.9133 9.03319 9.98927 14.4404 8.97976 10.1248 3.37202 11.4681 5.6078 4.58502
"g41" 28.0214 19.8781 41.6179 26.3023 55.4589 69.6881 55.0651 59.0104 50.9287 58.4498 23.7818 26.0519 172.716 107.105 50.4175 96.1056 93.4456 162.804 62.6179 64.2603
"Cre01.g001800" 7.62279 6.98219 6.41765 7.46901 5.77792 6.00067 6.56386 6.06892 6.50196 5.55271 7.22333 7.19088 9.15452 7.36895 7.95607 6.7434 6.26864 1.90184 4.08006 4.28477
"Cre01.g002050" 8.67358 6.60746 8.52482 10.5384 7.67225 6.8587 8.30783 9.49285 14.3385 19.5333 9.82755 8.54658 7.71617 92.6391 12.8139 13.181 10.3287 31.8751 12.983 10.6478
"Cre01.g002200" 85.5791 39.8724 50.4314 101.842 18.3206 15.6962 18.3822 41.8607 44.7769 39.789 18.6664 26.2468 43.0557 59.7885 67.6774 52.5927 5.65694 6.77696 39.5683 37.5742
"Cre01.g002201" 5.02533 1.63143 3.3126 6.07382 0.492292 0.219807 0.38473 2.11963 1.13362 0.724891 1.59257 1.60043 2.2831 0.79154 2.9528 2.49303 0.320663 0.516103 2.51338 2.60319
"Cre01.g002227" 26.0264 13.406 12.0631 27.7144 19.8539 17.9634 22.2201 18.0933 12.2771 11.4037 31.4143 21.4836 14.2568 14.9859 12.4276 10.3129 9.08036 7.82077 12.7015 13.6921
"Cre01.g002350" 12.7461 12.7272 18.1779 13.8166 9.27686 8.39474 7.6701 6.41833 7.25409 10.9144 9.07859 9.55546 11.0986 19.3468 14.1906 16.3856 17.9358 13.2765 9.98089 10.0877
"Cre01.g002550" 6.9193 7.82873 6.80129 5.85153 11.7103 13.0128 12.0692 6.05484 7.50521 6.12498 9.39031 7.30548 14.0139 11.3417 8.65835 9.03885 3.34393 5.65579 3.89327 4.09417
"Cre01.g002600" 0.686055 0.720306 0.458946 0.400876 0.848335 0.925541 0.885243 0.312793 0.376535 0.380818 0.25152 0.221063 0.844576 0.819328 0.321625 0.920298 0.268558 1.09107 0.670701 0.417607
"Cre01.g002650" 0.123342 0.153414 0.0626697 0.111816 0 0 0 0.0907459 0.0492554 0.0992297 0.0459603 0.0565201 0.184658 0.0455871 0.605421 1.45155 0.154243 0 0 0
"Cre01.g002700" 3.25092 2.92721 4.22342 2.624 1.03136 1.47155 1.12481 1.49729 1.35484 1.58721 2.52759 2.01334 6.06023 5.52677 4.04196 7.32326 4.08339 6.41528 1.22197 2.64617
"Cre01.g002750" 0.48556 1.48506 0.639435 0.307596 1.52374 1.83702 1.18597 0.290627 0.574971 0.703724 1.32619 1.19502 1.68015 0.701432 0.710819 1.03222 1.20018 1.26455 0.865908 0.905022
"Cre01.g002800" 1.32387 0.259607 0.643867 1.87842 0.841511 0.602308 1.30454 0.45687 0.568387 0.600884 1.13164 1.59566 0.312563 0.118096 0.314812 0.456628 0.305218 0.297736 0.332492 0.242932
