254550_at	AT4G19690
253502_at	AT4G31940
257135_at	AT3G12900
255524_at	AT4G02330
262373_at	AT1G73120
250983_at	AT5G02780
251677_at	AT3G56980
245692_at	AT5G04150
251293_at	AT3G61930
261684_at	AT1G47400
249535_at	AT5G38820
259228_at	AT3G07720
262091_at	AT1G56160
250832_at	AT5G04950
252238_at	AT3G49960
257689_at	AT3G12820
251545_at	AT3G58810
251620_at	AT3G58060
245296_at	AT4G16370
256352_at	AT1G54970
262412_at	AT1G34760
248636_at	 * 
247483_at	AT5G62420
263376_at	AT2G20520
261157_at	AT1G34510
247871_at	AT5G57530
264567_s_at	 * 
254818_at	AT4G12470
264710_at	AT1G09790
252502_at	AT3G46900
254534_at	AT4G19680
254571_at	AT4G19370
258551_at	AT3G06890
264415_at	AT1G43160
249636_at	AT5G36890
248270_at	AT5G53450
266799_at	AT2G22860
249934_at	AT5G22410
259632_at	AT1G56430
247914_at	AT5G57540
264751_at	AT1G23020
254044_at	AT4G25820
250828_at	AT5G05250
246998_at	AT5G67370
260495_at	AT2G41810
260668_at	AT1G19530
262218_at	AT1G74770
248208_at	AT5G53980
251109_at	AT5G01600
246991_at	AT5G67400
246652_at	AT5G35190
248978_at	AT5G45070
252364_at	AT3G48450
254107_at	AT4G25220
262217_at	AT1G74770
257922_at	AT3G23150
245076_at	AT2G23170
258434_at	AT3G16770
250952_at	AT5G03570
263970_at	AT2G42850
254025_at	AT4G25790
253829_at	AT4G28040
264479_at	AT1G77280
267337_at	AT2G39980
248719_at	AT5G47910
261606_at	AT1G49570
249750_at	AT5G24570
257021_at	AT3G19710
251480_at	AT3G59710
251315_at	AT3G61410
246860_at	AT5G25840
248770_at	AT5G47740
251226_at	AT3G62680
251012_at	AT5G02580
245967_at	AT5G19800
249752_at	AT5G24660
267327_at	AT2G19410
264506_at	AT1G09560
267230_at	AT2G44080
266033_at	AT2G05830
253161_at	AT4G35770
255575_at	AT4G01430
246000_at	AT5G20820
266162_at	 * 
259982_at	AT1G76410
264144_at	AT1G79320
262655_s_at	 * 
255516_at	AT4G02270
265083_at	AT1G03820
246935_at	AT5G25350
263594_at	AT2G01880
263614_at	AT2G25240
252183_at	AT3G50740
252427_at	AT3G47640
262868_at	AT1G64980
260527_at	AT2G47270
247463_at	AT5G62210
264029_at	AT2G03720
253815_at	AT4G28250
251436_at	AT3G59900
249983_at	AT5G18470
251987_at	AT3G53280
249800_at	AT5G23660
252368_at	AT3G48520
257062_at	AT3G18290
246595_at	AT5G14780
263831_at	AT2G40300
263319_at	AT2G47160
264071_at	AT2G27920
260831_at	AT1G06830
266900_at	AT2G34610
250248_at	AT5G13740
256799_at	AT3G18560
254805_at	AT4G12480
263552_x_at	AT2G24980
245966_at	AT5G19790
251704_at	AT3G56360
253613_at	AT4G30320
267590_at	AT2G39700
251524_at	AT3G58990
267228_at	AT2G43890
249467_at	AT5G39610
250287_at	AT5G13330
253763_at	AT4G28850
245141_at	AT2G45400
249576_at	AT5G37690
259221_s_at	 * 
252833_at	AT4G40090
250869_at	AT5G03840
247320_at	AT5G64040
252327_at	AT3G48740
249476_at	AT5G38910
252988_at	AT4G38410
254202_at	AT4G24140
258184_at	AT3G21510
253998_at	AT4G26010
247476_at	AT5G62330
255075_at	AT4G09110
258395_at	AT3G15500
259819_at	AT1G49820
254338_s_at	 * 
261957_at	AT1G64660
246142_at	AT5G19970
254326_at	AT4G22610
253658_at	AT4G30120
258739_s_at	 * 
260599_at	AT1G55940
247536_at	AT5G61650
254109_at	AT4G25240
257718_at	AT3G18400
258975_at	AT3G01970
251942_at	AT3G53480
250243_at	AT5G13630
252415_at	AT3G47340
260754_at	AT1G49000
261428_at	AT1G18870
246390_at	AT1G77330
254819_at	AT4G12500
261545_at	AT1G63530
265796_at	AT2G35730
259736_at	AT1G64390
257382_at	AT2G40750
265025_at	AT1G24575
260551_at	AT2G43510
249941_at	AT5G22270
260582_at	AT2G47200
246251_at	AT4G37220
260213_at	AT1G74490
248337_at	AT5G52310
266344_at	AT2G01580
248050_at	AT5G56100
254409_at	AT4G21400
256968_at	AT3G21070
247967_at	AT5G56620
245889_at	AT5G09480
261448_at	AT1G21140
254791_at	AT4G12910
266336_at	AT2G32270
266267_at	AT2G29460
258765_at	AT3G10710
252300_at	AT3G49160
266765_at	AT2G46860
252414_at	AT3G47420
254396_at	AT4G21680
258498_at	AT3G02480
254976_at	AT4G10510
258047_at	AT3G21240
245353_at	AT4G16000
254802_at	AT4G13090
262905_at	AT1G59730
258323_at	AT3G22750
252463_at	AT3G47070
258851_at	AT3G03190
264347_at	AT1G12040
249143_at	AT5G43230
264821_at	AT1G03470
260406_at	AT1G69920
267144_at	AT2G38110
257615_at	AT3G26510
256337_at	AT1G72060
249459_at	AT5G39580
251974_at	AT3G53200
250801_at	AT5G04960
252698_at	AT3G43670
247717_at	AT5G59320
254772_at	AT4G13390
253244_at	AT4G34580
260745_at	AT1G78370
266017_at	AT2G18690
263840_at	AT2G36885
257809_at	AT3G27060
266658_at	AT2G25735
265277_at	AT2G28410
252964_at	AT4G38830
263985_at	AT2G42750
264138_at	AT1G78950
252570_at	AT3G45300
250683_x_at	AT5G06640
254085_at	AT4G24960
258270_at	AT3G15650
253937_at	AT4G26890
250307_at	AT5G12170
250680_at	AT5G06570
260344_at	AT1G69240
259410_at	AT1G13340
247765_at	AT5G58860
254098_at	AT4G25100
259758_s_at	 * 
255413_at	AT4G03140
251755_at	AT3G55790
253774_at	AT4G28530
265014_at	AT1G24430
247549_at	AT5G61420
266191_at	AT2G39040
245151_at	AT2G47550
255632_at	AT4G00680
248729_at	AT5G48010
246952_at	AT5G04820
256020_at	AT1G58290
247577_at	AT5G61290
261099_at	AT1G62980
262118_at	AT1G02850
252447_at	AT3G47040
250746_at	AT5G05880
245867_at	AT1G58080
247467_at	AT5G62130
254687_at	AT4G13770
252109_at	AT3G51540
256073_at	AT1G18100
259681_at	AT1G77760
261327_at	AT1G44830
257479_at	AT1G16150
262277_at	AT1G68650
249868_at	AT5G23030
259195_at	AT3G01730
247001_at	AT5G67330
261640_at	AT1G49960
252184_at	AT3G50660
247444_at	AT5G62630
263176_at	AT1G05530
252987_at	AT4G38390
250231_at	AT5G13910
263935_at	AT2G35930
253710_at	AT4G29230
255284_at	AT4G04610
245735_at	AT1G73410
249205_at	AT5G42600
AFFX-Athal-25SrRNA_s_at	 * 
251113_at	AT5G01370
255127_at	AT4G08300
253696_at	AT4G29740
255140_x_at	AT4G08410
266849_at	AT2G25940
256681_at	AT3G52340
245098_at	AT2G40940
250892_at	AT5G03760
255450_at	AT4G02850
263825_at	AT2G40370
248434_at	AT5G51440
254077_at	AT4G25640
264524_at	AT1G10070
247136_at	AT5G66170
260030_at	AT1G68880
266395_at	AT2G43100
250306_at	AT5G12170
254907_at	AT4G11190
255305_at	AT4G04770
247304_at	AT5G63850
254158_at	AT4G24380
256647_at	AT3G13610
254264_at	AT4G23510
260522_x_at	AT2G41730
261567_at	AT1G33055
255782_at	AT1G19850
259264_at	AT3G01260
266006_at	AT2G37360
266477_at	AT2G31085
259379_at	AT3G16350
246620_at	AT5G36220
261562_at	AT1G01750
263194_at	AT1G36060
254644_at	AT4G18510
251245_at	AT3G62090
261366_at	AT1G53100
247734_at	AT5G59400
248491_at	AT5G51010
250152_at	AT5G15120
249358_at	AT5G40510
252638_at	AT3G44540
246540_at	AT5G15600
267437_at	AT2G19200
260913_at	AT1G02500
258342_at	AT3G22800
253643_at	AT4G29780
249389_at	AT5G40100
251039_at	AT5G02020
262138_at	AT1G52660
245389_at	AT4G17480
253946_at	AT4G26790
253936_at	AT4G26880
262479_at	AT1G11130
266625_at	AT2G35380
267595_at	AT2G32990
259653_at	AT1G55240
259650_at	AT1G55290
253985_at	AT4G26220
263650_at	AT1G04360
261937_at	AT1G22570
249234_at	AT5G42200
247070_at	AT5G66815
254756_at	AT4G13235
252145_at	AT3G51200
248082_at	AT5G55400
262381_at	AT1G72900
248761_at	AT5G47635
248889_at	AT5G46230
252534_at	AT3G46130
266746_s_at	 * 
266891_at	AT2G44690
255175_at	AT4G07960
248732_at	AT5G48070
248621_at	AT5G49350
256093_at	AT1G20823
264729_at	AT1G22990
254648_at	AT4G18550
255142_at	AT4G08390
253709_at	AT4G29220
252340_at	AT3G48920
265572_at	 * 
249866_at	AT5G23010
257704_at	AT3G12720
247874_at	AT5G57710
266324_at	AT2G46710
265065_at	AT1G03980
262517_at	AT1G17180
253182_at	AT4G35190
266232_at	AT2G02310
266141_at	AT2G02120
260623_at	AT1G08090
245689_at	AT5G04120
266983_at	AT2G39400
250682_x_at	AT5G06630
255568_at	AT4G01250
264861_at	AT1G24320
263118_at	AT1G03090
263046_at	AT2G05380
256283_at	AT3G12540
254343_at	AT4G21990
262557_at	AT1G31330
247679_at	AT5G59540
261308_at	AT1G48480
260308_at	AT1G70610
267561_at	AT2G45590
253734_at	AT4G29180
254331_s_at	 * 
246001_at	AT5G20790
266209_at	AT2G27550
253270_at	AT4G34160
248066_at	AT5G55590
252653_at	AT3G44730
251125_at	AT5G01060
247903_at	AT5G57340
252080_at	AT3G51670
264672_at	AT1G09750
258625_at	AT3G04370
248203_at	AT5G54230
262406_at	AT1G34670
259011_s_at	 * 
247047_at	AT5G66650
254234_at	AT4G23680
253503_at	AT4G31950
249477_s_at	 * 
264774_at	AT1G22890
261899_at	AT1G80820
265341_at	AT2G18360
258727_at	AT3G11930
255521_at	AT4G02280
262967_at	AT1G75730
261991_at	AT1G33700
260774_at	AT1G78290
254361_at	AT4G22212
251842_at	AT3G54580
245629_at	AT1G56580
265016_at	AT1G24420
257858_at	AT3G12920
260590_at	AT1G53310
246969_at	AT5G24880
257823_at	AT3G25190
252639_at	AT3G44550
255690_at	AT4G00360
261574_at	AT1G01190
250123_at	AT5G16530
248741_at	AT5G48170
261135_at	AT1G19610
248243_at	AT5G53590
264282_at	AT1G61840
250778_at	AT5G05500
248130_at	AT5G54790
248689_at	AT5G48150
266708_at	AT2G03200
266800_at	AT2G22880
263515_at	AT2G21640
