Cre01.g000050	AT4G35590
Cre01.g000100	*
Cre01.g000150	AT2G04032
Cre01.g000200	*
Cre01.g000250	AT1G22850
Cre01.g000300	AT4G24160
Cre01.g000350	AT1G15140
Cre01.g000400	AT2G35610
Cre01.g000450	AT2G35610
Cre01.g000500	AT2G35610
Cre01.g000550	AT2G35610
Cre01.g000600	AT5G52820
Cre01.g000650	AT2G42490
Cre01.g000750	AT4G24204
Cre01.g000800	AT1G78995
Cre01.g000850	AT3G17930
Cre01.g000900	AT5G47860
Cre01.g000950	AT5G64500
Cre01.g001000	*
Cre01.g001100	*
Cre01.g001150	*
Cre01.g001200	AT3G46920
Cre01.g001350	AT1G54350
Cre01.g001400	AT5G42620
Cre01.g001550	AT2G24060
Cre01.g001600	AT5G19330
Cre01.g001650	AT4G19150
Cre01.g001750	AT5G55220
Cre01.g001800	AT3G04810
Cre01.g001950	*
Cre01.g002050	*
Cre01.g002100	*
Cre01.g002150	*
Cre01.g002200	AT5G51940
Cre01.g002201	AT5G12220
Cre01.g002227	*
Cre01.g002236	*
Cre01.g002250	AT1G26220
Cre01.g002300	AT2G21130
Cre01.g002350	AT1G05180
Cre01.g002400	AT4G13550
Cre01.g002500	*
Cre01.g002550	AT1G30640
Cre01.g002600	*
Cre01.g002650	*
Cre01.g002700	*
Cre01.g002750	*
Cre01.g002800	AT4G19800
Cre01.g002900	*
Cre01.g002950	*
Cre01.g003000	*
Cre01.g003050	AT3G10380
Cre01.g003100	AT2G21510
Cre01.g003150	*
Cre01.g003200	AT4G09670
Cre01.g003250	*
Cre01.g003300	*
Cre01.g003450	*
Cre01.g003519	*
Cre01.g003550	AT4G27700
Cre01.g003600	*
Cre01.g003650	*
Cre01.g003700	*
Cre01.g003750	AT5G37500
Cre01.g003800	AT3G06620
Cre01.g003850	AT2G44890
Cre01.g004000	*
Cre01.g004050	*
Cre01.g004124	*
Cre01.g004157	*
Cre01.g004200	*
Cre01.g004250	*
Cre01.g004300	AT3G47340
Cre01.g004350	AT1G15130
Cre01.g004400	*
Cre01.g004450	AT1G54520
Cre01.g004500	AT4G13430
Cre01.g004550	*
Cre01.g004600	AT5G53040
Cre01.g004650	*
Cre01.g004700	*
Cre01.g004750	AT3G59440
Cre01.g004800	*
Cre01.g004850	*
Cre01.g004900	*
Cre01.g004950	*
Cre01.g005000	AT2G38695
Cre01.g005050	*
Cre01.g005100	*
Cre01.g005150	AT2G13360
Cre01.g005200	AT4G18550
Cre01.g005250	*
Cre01.g005400	AT1G54870
Cre01.g005450	AT1G60890
Cre01.g005500	*
Cre01.g005534	*
Cre01.g005550	AT2G18390
Cre01.g005650	*
Cre01.g005750	*
Cre01.g005850	*
Cre01.g005950	AT1G15140
Cre01.g006000	*
Cre01.g006050	*
Cre01.g006100	*
Cre01.g006300	*
Cre01.g006450	*
Cre01.g006500	*
Cre01.g006550	*
Cre01.g006600	AT4G20520
Cre01.g006700	AT4G20520
Cre01.g006750	*
Cre01.g006800	AT3G45100
Cre01.g006850	*
Cre01.g006900	AT3G55580
Cre01.g006950	AT3G52930
Cre01.g007000	AT2G29940
Cre01.g007050	AT3G19900
Cre01.g007100	*
Cre01.g007150	AT4G09340
Cre01.g007200	AT3G56930
Cre01.g007300	*
Cre01.g007350	AT5G12310
Cre01.g007400	*
Cre01.g007450	AT1G34065
Cre01.g007500	*
Cre01.g007550	AT3G61270
Cre01.g007700	AT2G24200
Cre01.g007850	AT5G47570
Cre01.g007901	AT4G21910
Cre01.g007950	AT1G05160
Cre01.g008000	AT3G16230
Cre01.g008150	AT3G63340
Cre01.g008200	*
Cre01.g008250	*
Cre01.g008300	*
Cre01.g008350	*
Cre01.g008450	AT1G61000
Cre01.g008500	AT3G04710
Cre01.g008550	AT1G73450
Cre01.g008600	*
Cre01.g008650	AT1G66750
Cre01.g008700	*
Cre01.g008800	*
Cre01.g008850	AT5G47490
Cre01.g008891	AT1G79230
Cre01.g008900	*
Cre01.g008950	*
Cre01.g009000	*
Cre01.g009050	*
Cre01.g009100	AT5G43420
Cre01.g009150	*
Cre01.g009200	AT2G39760
Cre01.g009250	AT3G23890
Cre01.g009300	AT3G59770
Cre01.g009350	AT5G08170
Cre01.g009400	*
Cre01.g009450	AT4G39960
Cre01.g009500	AT3G10660
Cre01.g009550	*
Cre01.g009650	AT5G57390
Cre01.g009700	AT2G30170
Cre01.g009731	*
Cre01.g009750	*
Cre01.g009800	*
Cre01.g009850	*
Cre01.g009900	AT2G42750
Cre01.g009950	AT3G57000
Cre01.g010000	AT4G01370
Cre01.g010050	*
Cre01.g010100	*
Cre01.g010150	AT2G41670
Cre01.g010250	AT2G30170
Cre01.g010296	*
Cre01.g010300	*
Cre01.g010350	AT1G04640
Cre01.g010400	*
Cre01.g010450	*
Cre01.g010500	AT3G07910
Cre01.g010650	*
Cre01.g010700	AT5G46860
Cre01.g010750	*
Cre01.g011050	*
Cre01.g011100	AT2G07050
Cre01.g011150	*
Cre01.g011200	AT1G55300
Cre01.g011250	*
Cre01.g011300	AT1G15000
Cre01.g011350	AT4G20280
Cre01.g011400	*
Cre01.g011500	AT5G23540
Cre01.g011550	*
Cre01.g011600	AT3G05420
Cre01.g011650	AT4G33730
Cre01.g011700	AT4G33730
Cre01.g011800	AT5G49470
Cre01.g011850	AT5G58950
Cre01.g011900	*
Cre01.g011950	*
Cre01.g012000	*
Cre01.g012050	*
Cre01.g012100	*
Cre01.g012126	*
Cre01.g012150	AT5G07470
Cre01.g012177	*
Cre01.g012244	*
Cre01.g012300	AT5G24460
Cre01.g012350	AT5G64420
Cre01.g012400	AT2G05755
Cre01.g012450	AT1G55860
Cre01.g012500	AT5G01640
Cre01.g012550	*
Cre01.g012600	*
Cre01.g012650	AT5G37500
Cre01.g012700	AT5G37500
Cre01.g012750	AT5G37500
Cre01.g012800	*
Cre01.g012850	AT5G37500
Cre01.g012900	AT1G69040
Cre01.g012950	AT3G63260
Cre01.g013000	*
Cre01.g013050	AT1G18610
Cre01.g013100	AT2G14610
Cre01.g013150	AT4G10300
Cre01.g013200	*
Cre01.g013250	AT3G45740
Cre01.g013300	AT5G36950
Cre01.g013350	*
Cre01.g013400	AT3G07180
Cre01.g013450	*
Cre01.g013500	*
Cre01.g013550	*
Cre01.g013600	AT4G24680
Cre01.g013650	AT1G18950
Cre01.g013700	AT5G57490
Cre01.g013750	*
Cre01.g013769	*
Cre01.g013800	AT3G43590
Cre01.g013801	AT4G32770
Cre01.g013850	*
Cre01.g013900	*
Cre01.g014000	*
Cre01.g014050	AT2G20280
Cre01.g014100	*
Cre01.g014150	AT5G52450
Cre01.g014200	*
Cre01.g014250	*
Cre01.g014300	*
Cre01.g014350	AT3G52960
Cre01.g014400	*
Cre01.g014450	*
Cre01.g014500	AT1G16270
Cre01.g014600	AT5G43320
Cre01.g014650	AT3G06300
Cre01.g014700	*
Cre01.g014800	AT1G65070
Cre01.g014850	AT3G12760
Cre01.g014900	*
Cre01.g014950	*
Cre01.g015000	AT3G57560
Cre01.g015050	*
Cre01.g015100	*
Cre01.g015103	*
Cre01.g015150	*
Cre01.g015200	*
Cre01.g015250	AT5G63960
Cre01.g015300	*
Cre01.g015350	AT5G54190
Cre01.g015400	AT1G63610
Cre01.g015500	AT4G34150
Cre01.g015550	AT4G10750
Cre01.g015600	AT1G64790
Cre01.g015700	AT3G60910
Cre01.g015750	*
Cre01.g015850	*
Cre01.g015950	AT3G01920
Cre01.g016000	*
Cre01.g016050	AT1G80070
Cre01.g016100	*
Cre01.g016150	*
Cre01.g016300	AT1G76650
Cre01.g016350	*
Cre01.g016400	*
Cre01.g016450	AT2G17900
Cre01.g016500	*
Cre01.g016600	AT1G44575
Cre01.g016700	*
Cre01.g016750	AT1G44575
Cre01.g016800	AT5G01830
Cre01.g016850	AT2G23090
Cre01.g016900	*
Cre01.g016950	AT3G59380
Cre01.g017050	AT5G01340
Cre01.g017100	AT1G54570
Cre01.g017150	*
Cre01.g017200	AT3G54010
Cre01.g017250	*
Cre01.g017300	*
Cre01.g017350	AT1G24610
Cre01.g017400	*
Cre01.g017450	AT1G67630
Cre01.g017500	AT1G43860
Cre01.g017550	AT4G36180
Cre01.g017600	*
Cre01.g017650	*
Cre01.g017700	*
Cre01.g017750	*
Cre01.g017850	*
Cre01.g017900	*
Cre01.g017950	AT4G36180
Cre01.g018000	AT3G25940
Cre01.g018050	AT5G13390
Cre01.g018100	AT2G35680
Cre01.g018150	*
Cre01.g018200	AT2G27980
Cre01.g018350	*
Cre01.g018450	*
Cre01.g018500	AT2G02770
Cre01.g018550	*
Cre01.g018600	*
Cre01.g018700	*
Cre01.g018750	*
Cre01.g018800	AT2G07741
Cre01.g018850	AT3G18500
Cre01.g018900	AT1G32340
Cre01.g018950	AT5G05920
Cre01.g019000	AT2G24390
Cre01.g019100	AT3G19480
Cre01.g019150	AT3G53760
Cre01.g019200	AT5G20600
Cre01.g019250	AT5G28840
Cre01.g019300	*
Cre01.g019450	AT3G57870
Cre01.g019500	AT5G08390
Cre01.g019550	AT5G07270
Cre01.g019600	AT5G62140
Cre01.g019650	*
Cre01.g019700	AT3G45750
Cre01.g019750	AT3G20780
Cre01.g019850	AT1G07510
Cre01.g019900	*
Cre01.g019950	AT2G20560
Cre01.g020000	*
Cre01.g020050	*
Cre01.g020100	*
Cre01.g020150	*
Cre01.g020250	AT3G61710
Cre01.g020300	*
Cre01.g020350	*
Cre01.g020400	AT1G73720
Cre01.g020450	*
Cre01.g020500	*
Cre01.g020550	*
Cre01.g020650	*
Cre01.g020700	*
Cre01.g020750	*
Cre01.g020751	*
Cre01.g020800	*
Cre01.g020850	*
Cre01.g020887	*
Cre01.g020900	AT3G19170
Cre01.g020950	AT2G37990
Cre01.g021000	AT2G30330
Cre01.g021050	AT3G10110
Cre01.g021100	*
Cre01.g021200	AT5G45360
Cre01.g021250	AT5G10920
Cre01.g021300	*
Cre01.g021350	*
Cre01.g021400	AT2G44200
Cre01.g021500	AT3G15380
Cre01.g021550	*
Cre01.g021600	AT3G01540
Cre01.g021650	*
Cre01.g021700	*
Cre01.g021750	AT1G29220
Cre01.g021800	*
Cre01.g021850	AT2G01440
Cre01.g021900	AT5G35400
Cre01.g021950	*
Cre01.g022000	AT3G27120
Cre01.g022050	*
Cre01.g022100	AT4G12570
Cre01.g022150	*
Cre01.g022200	*
Cre01.g022250	AT3G17465
Cre01.g022300	*
Cre01.g022350	AT3G16840
Cre01.g022400	AT3G58020
Cre01.g022450	*
Cre01.g022462	*
Cre01.g022500	AT1G79750
Cre01.g022550	*
Cre01.g022600	AT1G08030
Cre01.g022650	AT5G64370
Cre01.g022681	*
Cre01.g022700	*
Cre01.g022750	*
Cre01.g022800	*
Cre01.g022850	*
Cre01.g022900	*
Cre01.g022950	AT3G17380
Cre01.g023050	AT2G01650
Cre01.g023100	AT5G67180
Cre01.g023150	AT2G07690
Cre01.g023200	*
Cre01.g023250	*
Cre01.g023300	AT3G20790
Cre01.g023350	*
Cre01.g023400	AT5G01460
Cre01.g023450	*
Cre01.g023500	*
Cre01.g023550	AT5G22320
Cre01.g023800	AT4G36690
