"name"	"x"	"y"	"color"	"athaliana"	"common"	"description"	"clustering"	"hub"	"pfam"
"Cre01.g013450"	3869	6224	"#ff6600"	""	"Cre01.g013450"	""	0.666666666666667	2.62804737504855e-09	""
"Cre12.g508550"	4050	6446	"#ff6600"	"AT3G61530"	"PAN2"	"Phosphoenolpyruvate carboxylase family protein"	0.665456745311555	5.11901001218566e-08	"PF02548"
"Cre08.g379400"	4299	5934	"#ff6600"	""	"Cre08.g379400"	""	0.292090395480226	1.61365176355139e-07	""
"Cre09.g399550"	4137	6150	"#ff6600"	"AT5G14420"	"Cre09.g399550"	"RING domain ligase2"	0.416282642089094	1.76161580869247e-07	"PF04564,PF07002"
"Cre09.g395850"	4128	5864	"#ff6600"	""	"Cre09.g395850"	""	0.340725806451613	4.87756061766109e-09	""
"Cre04.g228939"	4222	6120	"#ff6600"	""	"Cre04.g228939,Cre04.g228950"	""	0.704594246457707	1.08198475347484e-07	""
"g701"	4107	6340	"#ff6600"	""	"g701"	""	0.652173913043478	2.98816620406602e-08	""
"g18090"	4187	6451	"#ff6600"	"AT3G57420"	"g18090"	"Protein of unknown function (DUF288)"	0.721008403361345	2.42690624527512e-08	"PF03385"
"Cre01.g045200"	6523	4216	"#ffcc00"	"AT3G25770"	"Cre01.g045200"	"allene oxide cyclase 2"	0.763218390804598	1.12549655275641e-13	"PF06351"
"Cre10.g461750"	6861	4081	"#ffcc00"	"AT5G49160"	"Cre10.g461750"	"methyltransferase 1"	0.642657793044225	3.77335187106768e-13	"PF00145,PF12047"
"g1431"	6597	4258	"#ffcc00"	""	"g1431"	""	0.711390635918938	1.82299067188713e-13	"PF12499"
"Cre10.g424200"	6979	4095	"#ffcc00"	"AT5G22110"	"Cre10.g424200"	"DNA polymerase epsilon subunit B2"	0.630906003396264	3.70873005942617e-13	"PF04042"
"Cre14.g613400"	6781	4112	"#ffcc00"	"AT5G49430"	"POC16"	"WD40/YVTN repeat-like-containing domain;Bromodomain"	0.667631917631918	1.20927077089168e-12	"PF05018,PF00400"
"Cre02.g096950"	6901	4120	"#ffcc00"	""	"Cre02.g096950"	""	0.608051439753984	3.7363582252729e-13	"PF09444"
"Cre02.g143100"	6726	4215	"#ffcc00"	""	"Cre02.g143100"	""	0.605025773195876	2.96230130756691e-13	"PF04130"
"Cre04.g214350"	6926	4047	"#ffcc00"	"AT5G67100"	"Cre04.g214350"	"DNA-directed DNA polymerases"	0.620533284962815	3.5317224884081e-13	"PF03104,PF00136,PF08996,PF12254"
"Cre07.g341700"	6919	3938	"#ffcc00"	"AT1G77720"	"Cre07.g341700"	"putative protein kinase 1"	0.647890818858561	3.96534421000262e-13	"PF00069"
"Cre11.g482700"	7029	4142	"#ffcc00"	""	"Cre11.g482700"	""	0.665806451612903	2.11144745428694e-13	""
